design_label,metric,replicate,sample_seed,n_models,n_dyads,mean_similarity_rate,mas_compatibility_rate,identified_compatibility_rate,similarity_minus_mas,similarity_minus_identified,similarity_error,mas_error,identified_error,similarity_minus_mas_error,similarity_minus_identified_error
1B,identified_compatible,88,1088,60,3540,0.683652,1.0,0.107345,-0.316348,0.576307,0.005407,0.0,-0.002603,0.005407,0.00801
1B,identified_compatible,89,1089,60,3540,0.683829,1.0,0.107345,-0.316171,0.576485,0.005584,0.0,-0.002603,0.005584,0.008188
1B,identified_compatible,90,1090,60,3540,0.685944,1.0,0.107345,-0.314056,0.578599,0.007699,0.0,-0.002603,0.007699,0.010302
1B,identified_compatible,91,1091,60,3540,0.694099,1.0,0.107345,-0.305901,0.586754,0.015854,0.0,-0.002603,0.015854,0.018457
1B,identified_compatible,92,1092,60,3540,0.681463,1.0,0.107345,-0.318537,0.574118,0.003218,0.0,-0.002603,0.003218,0.005821
1B,identified_compatible,93,1093,60,3540,0.683585,1.0,0.107345,-0.316415,0.57624,0.00534,0.0,-0.002603,0.00534,0.007943
1B,identified_compatible,94,1094,60,3540,0.677494,1.0,0.107345,-0.322506,0.570149,-0.000751,0.0,-0.002603,-0.000751,0.001852
1B,identified_compatible,95,1095,60,3540,0.681059,1.0,0.107345,-0.318941,0.573714,0.002814,0.0,-0.002603,0.002814,0.005417
1B,identified_compatible,96,1096,60,3540,0.677798,1.0,0.107345,-0.322202,0.570454,-0.000447,0.0,-0.002603,-0.000447,0.002157
1B,identified_compatible,97,1097,60,3540,0.682199,1.0,0.107345,-0.317801,0.574855,0.003954,0.0,-0.002603,0.003954,0.006558
1B,identified_compatible,98,1098,60,3540,0.688319,1.0,0.107345,-0.311681,0.580975,0.010074,0.0,-0.002603,0.010074,0.012678
1B,identified_compatible,99,1099,60,3540,0.692846,1.0,0.107345,-0.307154,0.585502,0.014601,0.0,-0.002603,0.014601,0.017205
1B,identified_compatible,100,1100,60,3540,0.684717,1.0,0.107345,-0.315283,0.577372,0.006472,0.0,-0.002603,0.006472,0.009075
